print_key,name,set_code,collector_number,layout,face_count,type_line_source,type_line_pl,has_rules_text,rules_translation_status,explanation_status
tla:1,Aang's Journey,TLA,1,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:2,Energybending,TLA,2,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:3,Zuko's Exile,TLA,3,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:4,"Aang, the Last Airbender",TLA,4,normal,1,Legendary Creature — Human Avatar Ally,Legendarne Stworzenie — Człowiek Avatar Sojusznik,yes,not-started,not-started
tla:5,Aang's Iceberg,TLA,5,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:6,Airbender Ascension,TLA,6,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:7,Airbender's Reversal,TLA,7,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:8,Airbending Lesson,TLA,8,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:9,"Appa, Loyal Sky Bison",TLA,9,normal,1,Legendary Creature — Bison Ally,Legendarne Stworzenie — Bizon Sojusznik,yes,not-started,not-started
tla:10,"Appa, Steadfast Guardian",TLA,10,normal,1,Legendary Creature — Bison Ally,Legendarne Stworzenie — Bizon Sojusznik,yes,not-started,not-started
tla:11,Avatar Enthusiasts,TLA,11,normal,1,Creature — Human Peasant Ally,Stworzenie — Człowiek Chłop Sojusznik,yes,not-started,not-started
tla:12,Avatar's Wrath,TLA,12,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:13,Compassionate Healer,TLA,13,normal,1,Creature — Human Cleric Ally,Stworzenie — Człowiek Kleryk Sojusznik,yes,not-started,not-started
tla:14,Curious Farm Animals,TLA,14,normal,1,Creature — Boar Elk Bird Ox,Stworzenie — Dzik Jeleń Ptak Wół,yes,not-started,not-started
tla:15,Destined Confrontation,TLA,15,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:16,Earth Kingdom Jailer,TLA,16,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:17,Earth Kingdom Protectors,TLA,17,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:18,Enter the Avatar State,TLA,18,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:19,Fancy Footwork,TLA,19,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
