printKey,cardName,faceIndex,faceName,layout,typeLineSource,rulesTextSource,status,priority,notes
tle:211,Aang's Defense,0,Aang's Defense,normal,Instant,"Target blocking creature you control gets +2/+2 until end of turn.
Draw a card.",todo,high,
tle:210,"Aang, Air Nomad",0,"Aang, Air Nomad",normal,Legendary Creature — Human Avatar Ally,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Vigilance (Attacking doesn't cause this creature to tap.)
Other creatures you control have vigilance.",todo,high,
tle:238,Fire Nation Soldier,0,Fire Nation Soldier,normal,Creature — Human Soldier,Haste (This creature can attack and {T} as soon as it comes under your control.),todo,high,
tle:239,Fire Nation's Conquest,0,Fire Nation's Conquest,normal,Enchantment,Creatures you control get +1/+0.,todo,high,
tle:240,"Iroh, Firebending Instructor",0,"Iroh, Firebending Instructor",normal,Legendary Creature — Human Noble Ally,"Whenever Iroh attacks, attacking creatures get +1/+1 until end of turn.",todo,high,
tle:215,"Katara, Heroic Healer",0,"Katara, Heroic Healer",normal,Legendary Creature — Human Warrior Ally,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When Katara enters, put a +1/+1 counter on each other creature you control.",todo,high,
tle:241,Komodo Rhino,0,Komodo Rhino,normal,Creature — Lizard Rhino,Trample (This creature can deal excess combat damage to the player it's attacking.),todo,high,
tle:217,"Momo, Rambunctious Rascal",0,"Momo, Rambunctious Rascal",normal,Legendary Creature — Lemur Bat Ally,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Momo enters, he deals 4 damage to target tapped creature an opponent controls.",todo,high,
tla:285,Mountain,0,Mountain,normal,Basic Land — Mountain,({T}: Add {R}.),todo,high,
tle:218,Sledding Otter-Penguin,0,Sledding Otter-Penguin,normal,Creature — Otter Bird,{3}: Put a +1/+1 counter on this creature.,todo,high,
tle:219,"Sokka, Wolf Cove's Protector",0,"Sokka, Wolf Cove's Protector",normal,Legendary Creature — Human Warrior Ally,Vigilance (Attacking doesn't cause this creature to tap.),todo,high,
tle:220,Tundra Wall,0,Tundra Wall,normal,Creature — Wall,Defender (This creature can't attack.),todo,high,
tle:221,Wolf Cove Villager,0,Wolf Cove Villager,normal,Creature — Human Peasant,This creature enters tapped.,todo,high,
tle:245,"Zhao, the Seething Flame",0,"Zhao, the Seething Flame",normal,Legendary Creature — Human Soldier,Menace (This creature can't be blocked except by two or more creatures.),todo,high,
tle:247,Zuko's Offense,0,Zuko's Offense,normal,Sorcery,Zuko's Offense deals 2 damage to any target.,todo,high,
tle:246,"Zuko, Avatar Hunter",0,"Zuko, Avatar Hunter",normal,Legendary Creature — Human Noble,"Reach (This creature can block creatures with flying.)
Whenever you cast a red spell, create a 2/2 red Soldier creature token.",todo,high,
tle:69,Aang and Katara,0,Aang and Katara,normal,Legendary Creature — Human Avatar Ally,"Whenever Aang and Katara enter or attack, create X 1/1 white Ally creature tokens, where X is the number of tapped artifacts and/or creatures you control.",todo,normal,
tla:5,Aang's Iceberg,0,Aang's Iceberg,normal,Enchantment,"Flash
When this enchantment enters, exile up to one other target nonland permanent until this enchantment leaves the battlefield.
Waterbend {3}: Sacrifice this enchantment. If you do, scry 2. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",todo,normal,
tla:1,Aang's Journey,0,Aang's Journey,normal,Sorcery — Lesson,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Search your library for a basic land card. If this spell was kicked, instead search your library for a basic land card and a Shrine card. Reveal those cards, put them into your hand, then shuffle.
You gain 2 life.",todo,normal,
tle:146,"Aang, A Lot to Learn",0,"Aang, A Lot to Learn",normal,Legendary Creature — Human Avatar Ally,"Aang has vigilance as long as there's a Lesson card in your graveyard.
Whenever another creature you control dies, put a +1/+1 counter on Aang.",todo,normal,
tle:74,"Aang, Airbending Master",0,"Aang, Airbending Master",normal,Legendary Creature — Human Avatar Ally,"When Aang enters, airbend another target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever one or more creatures you control leave the battlefield without dying, you get an experience counter.
At the beginning of your upkeep, create a 1/1 white Ally creature token for each experience counter you have.",todo,normal,
tla:203,"Aang, at the Crossroads // Aang, Destined Savior",0,"Aang, at the Crossroads",transform,Legendary Creature — Human Avatar Ally,"Flying
When Aang enters, look at the top five cards of your library. You may put a creature card with mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
When another creature you control leaves the battlefield, transform Aang at the beginning of the next upkeep.",todo,normal,
tla:203,"Aang, at the Crossroads // Aang, Destined Savior",1,"Aang, Destined Savior",transform,Legendary Creature — Avatar Ally,"Flying
Land creatures you control have vigilance.
At the beginning of combat on your turn, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tla:204,"Aang, Swift Savior // Aang and La, Ocean's Fury",0,"Aang, Swift Savior",transform,Legendary Creature — Human Avatar Ally,"Flash
Flying
When Aang enters, airbend up to one other target creature or spell. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Waterbend {8}: Transform Aang.",todo,normal,
tla:204,"Aang, Swift Savior // Aang and La, Ocean's Fury",1,"Aang and La, Ocean's Fury",transform,Legendary Creature — Avatar Spirit Ally,"Reach, trample
Whenever Aang and La attack, put a +1/+1 counter on each tapped creature you control.",todo,normal,
tla:4,"Aang, the Last Airbender",0,"Aang, the Last Airbender",normal,Legendary Creature — Human Avatar Ally,"Flying
When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.",todo,normal,
tle:212,Aardvark Sloth,0,Aardvark Sloth,normal,Creature — Sloth Beast,Lifelink (Damage dealt by this creature also causes you to gain that much life.),todo,normal,
tla:205,Abandon Attachments,0,Abandon Attachments,normal,Instant — Lesson,"You may discard a card. If you do, draw two cards.",todo,normal,
tla:263,Abandoned Air Temple,0,Abandoned Air Temple,normal,Land,"This land enters tapped unless you control a basic land.
{T}: Add {W}.
{3}{W}, {T}: Put a +1/+1 counter on each creature you control.",todo,normal,
tla:44,Accumulate Wisdom,0,Accumulate Wisdom,normal,Instant — Lesson,Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. Put each of those cards into your hand instead if there are three or more Lesson cards in your graveyard.,todo,normal,
tle:151,Acrobatic Leap,0,Acrobatic Leap,normal,Instant,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,todo,normal,
